"Rain","wet_season","soil_nutrient","lime_soil","soil_tilling","sali_tolerant_rice","water_color_management","shrimp_stocking_density","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","3","1","2","2","2","2","3","0.845764","0.490057"
"1","3","1","3","1","1","1","1","0.810877","0.237062"
"1","3","1","3","1","1","1","2","0.831623","0.345528"
"1","3","1","3","1","1","1","3","0.860399","0.433675"
"1","3","1","3","1","1","2","1","0.810877","0.28923"
"1","3","1","3","1","1","2","2","0.831623","0.393482"
"1","3","1","3","1","1","2","3","0.860399","0.490457"
"1","3","1","3","1","2","1","1","0.793528","0.237062"
"1","3","1","3","1","2","1","2","0.815841","0.345528"
"1","3","1","3","1","2","1","3","0.84774","0.433675"
"1","3","1","3","1","2","2","1","0.793528","0.28923"
"1","3","1","3","1","2","2","2","0.815841","0.393482"
"1","3","1","3","1","2","2","3","0.84774","0.490457"
"1","3","1","3","2","1","1","1","0.813815","0.239855"
"1","3","1","3","2","1","1","2","0.831592","0.344938"
"1","3","1","3","2","1","1","3","0.851061","0.432976"
"1","3","1","3","2","1","2","1","0.813815","0.290395"
"1","3","1","3","2","1","2","2","0.831592","0.390891"
"1","3","1","3","2","1","2","3","0.851061","0.487936"
"1","3","1","3","2","2","1","1","0.795316","0.239855"
"1","3","1","3","2","2","1","2","0.81425","0.344938"
"1","3","1","3","2","2","1","3","0.835656","0.432976"
"1","3","1","3","2","2","2","1","0.795316","0.290395"
"1","3","1","3","2","2","2","2","0.81425","0.390891"
"1","3","1","3","2","2","2","3","0.835656","0.487936"
"1","3","1","4","1","1","1","1","0.814802","0.238351"
"1","3","1","4","1","1","1","2","0.83309","0.344967"
"1","3","1","4","1","1","1","3","0.855963","0.433326"
"1","3","1","4","1","1","2","1","0.814802","0.29025"
"1","3","1","4","1","1","2","2","0.83309","0.392206"
"1","3","1","4","1","1","2","3","0.855963","0.489241"
"1","3","1","4","1","2","1","1","0.797318","0.238351"
"1","3","1","4","1","2","1","2","0.816786","0.344967"
"1","3","1","4","1","2","1","3","0.841995","0.433326"
"1","3","1","4","1","2","2","1","0.797318","0.29025"
"1","3","1","4","1","2","2","2","0.816786","0.392206"
"1","3","1","4","1","2","2","3","0.841995","0.489241"
"1","3","1","4","2","1","1","1","0.803953","0.238746"
"1","3","1","4","2","1","1","2","0.826629","0.346068"
"1","3","1","4","2","1","1","3","0.853217","0.433196"
"1","3","1","4","2","1","2","1","0.803953","0.2883"
"1","3","1","4","2","1","2","2","0.826629","0.391867"
"1","3","1","4","2","1","2","3","0.853217","0.48858"
"1","3","1","4","2","2","1","1","0.784568","0.238746"
"1","3","1","4","2","2","1","2","0.809048","0.346068"
"1","3","1","4","2","2","1","3","0.838463","0.433196"
"1","3","1","4","2","2","2","1","0.784568","0.2883"
"1","3","1","4","2","2","2","2","0.809048","0.391867"
"1","3","1","4","2","2","2","3","0.838463","0.48858"
"1","3","2","1","1","1","1","1","0.681842","0.231016"
"1","3","2","1","1","1","1","2","0.717066","0.368804"
"1","3","2","1","1","1","1","3","0.889327","0.439008"
"1","3","2","1","1","1","2","1","0.681842","0.263677"
